"provider","doi","citeulike","connotea","scopus","ploscounter","pmc","facebook","mendeley","twitter","date_modified"
"plosalm","10.1371/journal.pone.0052760",0,0,0,382,113,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0052760",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0052760",NA,NA,NA,379,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pntd.0001505",0,0,1,2069,648,2,17,0,2013-05-13
"altmetric","10.1371/journal.pntd.0001505",0,0,NA,NA,NA,NA,15,2,2012-03-02
"impactstory","10.1371/journal.pntd.0001505",NA,NA,1,2026,2,NA,17,NA,2013-05-13
"plosalm","10.1371/journal.pone.0052761",0,0,0,297,247,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0052761",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0052761",NA,NA,NA,121,NA,NA,NA,NA,2013-02-14
"plosalm","10.1371/journal.pone.0034114",0,0,2,1305,591,0,6,0,2013-05-13
"altmetric","10.1371/journal.pone.0034114",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0034114",NA,NA,2,1278,NA,NA,7,NA,2013-05-13
"plosalm","10.1371/journal.pone.0034134",0,0,0,1045,254,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0034134",0,0,NA,NA,NA,NA,0,2,2012-04-04
"impactstory","10.1371/journal.pone.0034134",NA,NA,NA,951,NA,NA,NA,2,2013-02-22
"plosalm","10.1371/journal.pone.0031488",0,0,0,820,277,0,9,0,2013-05-13
"altmetric","10.1371/journal.pone.0031488",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0031488",NA,NA,NA,772,NA,NA,9,NA,2013-05-13
"plosalm","10.1371/journal.pone.0026201",1,0,5,1601,500,2,1,0,2013-05-13
"altmetric","10.1371/journal.pone.0026201",1,0,NA,NA,NA,NA,1,2,2012-02-16
"impactstory","10.1371/journal.pone.0026201",NA,NA,5,1578,2,NA,1,2,2013-05-13
"plosalm","10.1371/journal.pntd.0001501",0,0,5,2028,260,0,8,0,2013-05-13
"altmetric","10.1371/journal.pntd.0001501",0,0,NA,NA,NA,NA,7,1,2012-02-13
"impactstory","10.1371/journal.pntd.0001501",NA,NA,5,1977,3,NA,9,NA,2013-05-13
"plosalm","10.1371/journal.pone.0026189",0,0,1,1366,140,0,8,0,2013-05-13
"altmetric","10.1371/journal.pone.0026189",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0026189",NA,NA,1,1343,1,NA,7,NA,2013-05-13
"plosalm","10.1371/journal.pone.0039475",1,0,0,667,105,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0039475",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0039475",NA,NA,NA,655,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0047488",0,0,0,1112,277,0,6,3,2013-05-13
"altmetric","10.1371/journal.pone.0047488",0,0,NA,NA,NA,NA,6,3,2012-10-27
"impactstory","10.1371/journal.pone.0047488",NA,NA,NA,1097,NA,NA,6,4,2013-05-13
"plosalm","10.1371/journal.pone.0042151",0,0,2,618,210,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0042151",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0042151",NA,NA,2,608,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0047507",0,0,0,927,76,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0047507",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0047507",NA,NA,NA,916,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0028847",0,0,0,1443,322,0,3,0,2013-05-13
"altmetric","10.1371/journal.pone.0028847",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0028847",NA,NA,NA,1338,NA,NA,3,NA,2013-05-13
"plosalm","10.1371/journal.pone.0034129",0,0,4,1316,388,0,4,0,2013-05-13
"altmetric","10.1371/journal.pone.0034129",0,0,NA,NA,NA,NA,4,4,2012-04-04
"impactstory","10.1371/journal.pone.0034129",NA,NA,4,1286,1,NA,5,10,2013-05-13
"plosalm","10.1371/journal.pone.0052772",0,0,0,231,59,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0052772",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0052772",NA,NA,NA,228,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0020870",0,0,1,523,70,0,2,0,2013-05-13
"altmetric","10.1371/journal.pone.0020870",999,999,NA,NA,NA,999,999,999,1970-01-01
